BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
5946,4.851254,19.8022,22.57458,,4.999668,5.100371,23.71112,61.9,65.1,69.89999,21.9,1173.604,1992.235,2008.167,1061.608,23.01797,35.29611,47.41018,55.05766,50.07692,140.7449,131.7421,4.999502,61.01012,25.09935,17.91044,5.115479,20.00115,9.007413,64.9351,4.999502,80,25,15,4.976746,10,4.963372,4.969669,6008.917,5569.935,7807.671875
5947,4.85457,19.88327,22.91018,,5.000497,5.100371,23.7207,61.2,65.1,69.99999,21.9,1193.919,1989.444,2047.375,1061.608,23.18593,35.29611,47.09105,54.88969,49.74099,140.4473,132.2292,4.999502,60.52303,25.3672,18.06761,5.109392,20.12861,9.001029,64.9873,4.999502,80,25,15,4.970287,10,4.952576,4.983164,6008.917,5578.171,7807.671875
5948,4.851254,19.99514,22.70266,,4.999668,5.100371,23.56903,60.09999,64.99999,70.1,22,1191.955,2017.654,2031.084,1061.787,23.18593,35.12815,46.92309,55.05766,49.57303,140.8442,132.078,5.00024,60.69099,25.23882,17.66504,5.109392,20.2606,9.004221,65.02646,5.00024,80,25,15,4.954602,10,4.964271,4.961572,6008.917,5578.171,7815.908203
5949,4.852912,19.11316,22.84695,,4.999668,5.100371,23.56332,59.09999,64.89999,70.1,22,1161.197,1989.415,2100.953,1061.787,23.01797,34.97698,47.09105,54.88969,49.57303,140.6457,132.078,5.00024,61.01012,25.09766,17.90998,5.113044,20.04946,9.007413,65.01341,5.00024,80,25,15,4.949989,10,4.963372,4.975966,6008.917,5578.171,7807.671875
5950,4.85457,19.51362,22.54215,,4.999668,5.100371,23.57222,58.5,64.89999,69.99999,22,1167.638,1987.739,1992.114,1061.787,23.18593,35.12815,47.09105,54.88969,49.57303,140.8442,132.078,5.00024,60.35506,25.20569,17.99084,5.121565,20.14575,9.029756,64.97426,5.00024,80,25,15,4.953679,10,4.963372,4.982264,6008.917,5578.171,7807.671875
5951,4.848766,19.54604,21.98119,,4.998839,5.100371,23.56046,58.5,64.99999,69.99999,22.1,1167.638,1995.786,2019.654,1016.458,23.18593,34.97698,46.92309,55.22562,49.57303,140.4473,131.9101,4.999502,61.34605,25.13192,17.96708,5.116696,19.95091,9.007413,65.01341,4.999502,80,25,15,4.922309,10,4.965171,4.978665,6017.153,5578.171,7815.908203
5952,4.849596,18.8262,22.39786,,5.000497,5.099448,23.58515,59.2,65.1,69.99999,22.1,1138.582,2006.465,2025.229,1061.967,22.85,35.12815,46.92309,55.05766,49.74099,140.8442,132.078,4.999502,61.51401,25.04255,17.92911,5.114261,19.90676,9.013797,64.9612,4.999502,80,25,15,4.972132,9.900001,4.964271,4.979565,6008.917,5561.699,7807.671875
5953,4.847937,20.49125,23.4225,,4.998839,5.100371,23.59792,60.09999,65.1,69.89999,22.1,1140.122,1989.444,2047.077,1061.967,23.18593,35.29611,47.09105,54.72173,49.74099,140.3481,132.078,4.998764,60.52303,24.76752,18.09967,5.110609,20.19299,9.020181,64.94815,4.998764,80,25,15,4.965674,10,4.953475,4.982264,6025.389,5569.935,7807.671875
5954,4.848766,19.43418,22.81453,,5.000497,5.100371,23.5865,61.2,64.99999,69.89999,22.1,1164.858,1978.622,2047.077,1061.967,23.18593,35.46407,47.24222,54.72173,49.57303,140.7449,132.078,5.00024,60.69099,25.08766,17.63899,5.113044,20.06939,9.001029,64.9873,5.00024,80,25,15,4.953679,10,4.957973,4.970569,6008.917,5569.935,7807.671875
5955,4.852912,19.85084,22.4465,,4.999668,5.100371,23.6048,62.09999,64.89999,70.1,22.1,1173.955,2002.048,2008.751,1061.967,23.01797,35.29611,47.41018,55.05766,49.57303,140.6457,131.2382,4.999502,61.34605,25.40427,18.52684,5.110609,20.00766,9.016989,65.02646,4.999502,80,25,15,4.954602,10,4.959773,4.969669,6008.917,5561.699,7807.671875
5956,4.847108,19.78599,22.46271,,4.999668,5.100371,23.60128,62.3,64.99999,70.1,22.1,1174.305,1988.592,2063.583,1061.967,23.01797,35.29611,47.09105,55.05766,49.57303,140.6457,132.078,4.999502,61.51401,25.09004,17.90077,5.113044,19.9896,8.988262,65.00036,4.999502,80,25,15,4.949066,10,4.96877,4.984064,6008.917,5569.935,7807.671875
5957,4.852912,19.7714,21.46887,,5.000497,5.099448,23.61421,61.8,64.99999,70.1,22.2,1173.43,1989.15,2008.751,1062.147,23.18593,35.29611,47.09105,54.88969,49.57303,140.5465,132.2292,5.00024,61.51401,25.17203,18.30546,5.111826,19.9951,9.016989,64.9612,5.00024,80,25,15,4.961061,10,4.966071,4.966071,6008.917,5578.171,7807.671875
5958,1.999867,30.68093,21.10084,43.0642,2.000696,0,23.61656,60.59999,65.1,70.1,22.3,1192.848,1997.138,2025.524,1062.326,22.85,34.80902,40.27173,41.60376,40.60376,140.5465,132.5651,0,43.25636,24.89124,17.9897,0,20.01669,0,65.02646,0,80,25,15,0,-0.1,0,0.01169546,28275.1,26892.26,19738.42578
5959,4.84545,25.762,21.69261,44.90596,5.000497,5.100371,23.5781,59.59999,65.2,70.1,22.3,1191.061,1991.971,2025.524,1062.326,22.85,35.29611,51.07179,57.37556,51.73975,140.9434,131.9101,5.000978,61.84994,25.04728,18.15832,5.113044,19.5826,8.972302,65.00035,5.000978,80,25,15,4.956447,10,5.000257,4.982264,28275.1,26900.5,7815.908203
5960,4.846279,20.37938,30.7928,,5.000497,5.101294,23.54165,58.7,65.1,69.89999,22.3,1160.498,1988.327,2024.934,1050.841,22.68204,35.12815,47.57815,55.71272,50.89994,140.6457,131.5741,5.00024,62.01791,25.05523,17.77863,5.116696,20.00647,9.013797,64.9612,5.00024,80,25,15,4.973055,10,4.956174,5.000257,6000.681,5569.935,19730.1875
5961,4.851254,19.88327,22.83074,,4.999668,5.100371,23.47144,58.4,64.89999,69.89999,22.3,1167.462,2003.711,2047.077,1062.326,22.68204,34.97698,46.58716,55.39359,50.24488,140.9434,131.7421,5.00024,62.35383,24.955,18.32479,5.113044,19.92527,8.978686,65.02646,5.00024,80,25,15,4.945375,10,4.96877,4.973268,6008.917,5561.699,7807.671875
5962,4.847937,19.7714,21.48508,,4.999668,5.101294,23.45935,58.8,64.8,69.89999,22.3,1153.131,1998.477,2047.077,1062.326,23.01797,35.29611,47.41018,55.22562,49.2371,140.5465,131.7421,5.000978,62.18587,24.78009,17.67698,5.111826,20.05383,8.997837,65.0134,5.000978,80,25,15,4.967519,10,4.955275,4.960672,6008.917,5569.935,7807.671875
5963,4.847108,20.18645,24.30447,,4.999668,5.100371,23.45095,59.7,64.8,69.89999,22.3,1147.09,1994.082,2047.077,1062.326,23.01797,35.29611,47.41018,54.21783,49.74099,140.8442,131.4062,5.00024,61.34605,25.4114,18.30185,5.110609,20.18193,9.016989,64.9612,5.00024,80,25,15,4.934304,10,4.96697,4.94178,5992.445,5569.935,7807.671875
5964,4.846279,20.12322,21.90175,,4.999668,5.100371,23.46943,60.7,64.89999,69.99999,22.3,1141.147,1979.452,2063.283,1062.326,22.85,35.29611,47.41018,55.39359,49.90895,140.4473,131.0702,4.999502,61.34605,25.24183,18.06248,5.110609,19.96032,9.001029,64.9351,4.999502,80,25,15,4.954602,10,4.970569,4.973268,6000.681,5569.935,7799.435547
5965,4.84545,20.50746,22.33463,,4.999668,5.100371,23.45868,61.7,65.1,70.1,22.3,1135.127,1967.255,2008.751,1062.326,23.01797,35.63204,47.41018,55.22562,49.74099,140.8442,131.5741,5.00024,61.84994,24.89755,18.2089,5.116696,19.91526,8.991454,65.00036,5.00024,80,25,15,4.95737,10,4.971468,4.957074,6000.681,5561.699,7807.671875
5966,4.852083,20.4118,23.26362,,4.999668,5.100371,23.43415,62.09999,65.2,70.1,22.3,1195.524,1991.413,2008.751,1062.326,23.18593,35.63204,47.41018,55.05766,49.57303,140.5465,130.7343,5.00024,61.51401,24.8493,17.82181,5.114261,19.90854,8.997837,64.9873,5.00024,80,25,15,4.961983,10,4.957973,4.957973,6000.681,5578.171,7807.671875
5967,4.852083,19.65791,23.53599,,4.999668,5.100371,23.4397,62,65.2,70.1,22.4,1120.013,1986.439,2047.674,1062.506,23.01797,35.46407,47.41018,55.05766,49.57303,140.8442,131.0702,5.000978,62.01791,25.10079,17.73493,5.116696,19.81659,9.004221,65.01341,5.000978,80,25,15,4.960138,10,4.964271,4.955275,6000.681,5561.699,7807.671875
5968,4.853741,19.56226,24.09533,,4.998839,5.100371,23.40795,61.4,64.99999,69.89999,22.4,1142.342,1980.306,2008.167,1062.506,23.18593,35.12815,47.24222,55.05766,49.90895,140.5465,130.7343,5.00024,62.35383,25.03739,18.22376,5.121565,19.85806,9.007413,64.97426,5.00024,80,25,15,4.961983,10,4.959773,4.934583,6000.681,5569.935,7807.671875
5969,4.851254,19.52983,23.63165,,4.998839,5.100371,23.34345,60.5,64.89999,69.89999,22.4,1200,1982.255,2024.934,1062.506,23.18593,34.97698,47.09105,54.88969,49.57303,140.7449,130.5831,4.999502,61.84994,25.10151,17.66887,5.115479,20.04232,9.001029,64.97426,4.999502,80,25,15,4.962906,10,4.962472,4.957973,5992.445,5561.699,7799.435547
5970,4.853741,20.52367,24.54442,,5.000497,5.100371,23.36881,59.4,64.7,69.8,22.4,1138.924,1980.549,2062.682,1051.019,23.18593,35.29611,47.09105,54.88969,49.57303,140.4473,130.7343,4.999502,61.34605,25.22355,17.824,5.115479,19.93696,9.001029,65.02646,4.999502,80,25,15,4.962906,10,4.957074,4.950777,6008.917,5578.171,7799.435547
5971,4.850424,19.40175,24.3369,,4.999668,5.100371,23.29978,58.7,64.8,69.8,22.4,1137.726,1968.077,2046.779,1062.506,23.35389,35.12815,46.92309,55.22562,49.57303,140.7449,130.7343,5.00024,62.01791,24.78335,17.9474,5.115479,19.94459,9.016989,64.94815,5.00024,80,25,15,4.955524,10,4.963372,4.94088,5992.445,5569.935,7799.435547
5972,4.846279,19.8022,23.4225,,5.000497,5.099448,23.26115,58.59999,64.89999,69.99999,22.4,1137.554,1972.257,2008.459,1062.506,23.52186,35.12815,47.24222,55.22562,49.74099,140.6457,131.2382,5.00024,62.01791,25.39149,17.74001,5.115479,20.01038,8.988262,65.00035,5.00024,80,25,15,4.969364,10,4.953475,4.958873,6000.681,5569.935,7799.435547
5973,4.847937,19.96271,23.10311,,4.999668,5.100371,23.31943,59.09999,65.1,70.1,22.4,1138.411,1961.088,2025.524,1062.506,23.18593,35.12815,47.24222,54.88969,49.57303,140.9434,130.9023,4.999502,61.68198,25.01482,18.08626,5.111826,20.11249,9.029756,65.01341,4.999502,80,25,15,4.953679,10,4.955275,4.96877,5992.445,5569.935,7799.435547
5974,4.852912,20.05836,23.5668,,4.999668,5.100371,23.37956,59.9,65.2,70.2,22.4,1109.422,1977.015,2025.819,1062.506,23.52186,35.12815,46.92309,54.72173,49.90895,140.4473,131.2382,4.999502,61.68198,24.72391,18.39275,5.111826,19.94571,9.010605,65.03951,4.999502,80,25,15,4.953679,10,4.965171,4.953475,5992.445,5569.935,7799.435547
5975,4.849596,20.36316,23.85538,,4.999668,5.100371,23.37688,60.8,65.1,70.1,22.4,1141.318,1971.149,2047.674,1062.506,23.35389,35.46407,47.24222,54.88969,49.74099,140.8442,131.0702,5.00024,61.84994,24.99964,18.18074,5.116696,19.91463,9.016989,65.01341,5.00024,80,25,15,4.954602,10,4.957074,4.960672,6000.681,5561.699,7799.435547
5976,4.849596,18.84079,23.03826,,5.000497,5.100371,23.36663,61.59999,64.99999,69.89999,22.5,1173.079,1991.383,2024.934,1062.686,23.35389,35.63204,47.24222,55.05766,49.74099,140.3481,131.2382,5.000978,62.18587,24.62207,17.76905,5.115479,19.83479,9.032948,65.00036,5.000978,80,25,15,4.936149,10,4.960672,4.957074,6000.681,5561.699,7799.435547
5977,4.851254,21.56453,22.89397,,4.999668,5.100371,23.34446,62.09999,64.89999,69.89999,22.5,1166.424,1998.772,2062.982,1062.686,23.52186,35.63204,47.24222,54.88969,49.2371,140.9434,131.2382,5.000978,61.51401,25.26174,17.6953,5.116696,19.98604,8.991454,64.9351,5.00024,80,25,15,4.961061,10,4.959773,4.977766,5992.445,5569.935,7791.200195
5978,4.848766,20.53988,23.26362,,4.999668,5.100371,23.32565,61.8,64.89999,69.89999,22.4,1150.701,1982.76,2062.982,1062.686,23.52186,35.63204,47.24222,54.72173,49.57303,140.7449,131.4062,5.000978,61.51401,24.81999,18.19038,5.109392,20.06969,9.007413,65.00036,5.000978,80,25,15,4.965674,10,4.96697,4.960672,6000.681,5569.935,7799.435547
5979,4.847108,20.61933,23.31063,,5.000497,5.100371,23.27845,61.09999,64.8,69.8,22.4,1164.684,1954.603,2024.639,1062.506,23.52186,35.46407,47.09105,55.05766,49.2371,140.9434,131.4062,5.000978,62.01791,24.54344,18.5144,5.114261,19.89784,9.001029,64.9873,5.000978,80,25,15,4.953679,10,4.961572,4.970569,6000.681,5569.935,7791.200195
5980,4.850424,20.12322,22.63781,49.56874,5.000497,5.100371,23.25158,60.09999,64.89999,69.8,22.3,1170.449,1981.695,2007.874,1062.326,23.52186,35.29611,47.09105,55.05766,49.57303,140.4473,131.7421,4.999502,61.34605,24.83194,18.04113,5.114261,19.88708,8.98507,65.01341,4.999502,80,25,15,4.954602,10,4.963372,4.985863,6000.681,5569.935,7791.200195
5981,4.849596,20.21887,21.8369,49.93677,4.999668,5.101294,23.21899,59.09999,65.1,69.99999,22.4,1138.411,1971.713,2047.375,1062.506,23.35389,35.29611,46.92309,54.88969,49.74099,140.9434,131.5741,5.00024,61.17809,25.18897,18.2087,5.117913,19.87538,8.997837,64.94815,5.00024,80,25,15,4.949989,10,4.955275,4.974167,6000.681,5578.171,7791.200195
5982,4.851254,19.97892,22.4773,,5.000497,5.099448,23.19481,58.59999,65.2,70.1,22.4,1145.194,1985.879,2047.674,1062.506,23.52186,35.12815,47.41018,55.05766,49.74099,140.5465,132.078,5.000978,61.17809,24.72325,17.87841,5.117913,19.95271,9.001029,64.94815,5.000978,80,25,15,4.959215,10,4.960672,4.96787,6008.917,5578.171,7791.200195
5983,4.847937,21.37322,23.19877,,4.999668,5.100371,23.34832,58.59999,65.2,70.2,22.4,1137.554,1989.738,2063.884,1040.573,23.18593,35.46407,46.75513,55.22562,49.57303,140.8442,132.078,5.000978,61.34605,25.0361,17.63536,5.110609,20.0452,9.016989,65.00036,5.000978,80,25,15,4.945375,10,4.96787,4.974167,6000.681,5578.171,7799.435547
5984,4.852083,17.32004,23.66407,49.63197,4.999668,5.100371,23.37688,59.2,65.1,70.1,22.4,1138.582,1971.713,2063.583,1062.506,23.52186,35.29611,46.75513,55.05766,49.74099,140.5465,131.9101,4.999502,63.00889,25.0599,17.62115,5.077739,21.2791,8.988262,65.00036,4.999502,80,25,15,4.951834,10,4.942679,4.911192,6383.657,5626.764,7799.435547
5985,4.848766,19.86706,23.63165,45.33884,4.999668,5.100371,23.36159,60.09999,64.89999,69.89999,22.4,1117.003,1987.18,2062.982,1062.506,23.18593,35.63204,47.24222,55.05766,49.57303,140.8442,131.9101,4.998764,63.00889,24.73793,17.76557,5.117913,20.26597,8.991454,64.97426,4.998764,80,25,15,4.964751,10,4.965171,4.960672,6008.917,5578.171,7815.908203
5986,4.847937,20.04377,20.5869,44.44228,4.999668,5.101294,23.40778,61,64.7,69.8,22.4,1141.659,1969.984,1991.533,1062.506,23.01797,35.46407,47.09105,55.05766,49.57303,140.4473,131.9101,5.00024,62.84093,24.83876,17.74412,5.114261,20.17883,9.029756,64.97426,5.00024,80,25,15,4.942607,10,4.958873,4.961572,6008.917,5578.171,7799.435547
5987,4.85457,20.18645,23.48735,44.97081,5.000497,5.100371,23.36478,61.7,64.8,69.8,22.4,1173.254,1983.027,2007.874,1062.506,23.01797,35.96796,47.09105,55.05766,49.57303,140.8442,131.7421,5.00024,62.67296,24.7927,17.55274,5.126435,19.97355,8.997837,65.02646,5.00024,80,25,15,4.966596,10,4.953475,4.960672,6008.917,5569.935,7799.435547
5988,4.851254,18.93807,21.38943,45.78794,4.999668,5.100371,23.32968,61.9,64.8,69.8,22.3,1119.846,1974.723,2030.197,1062.326,23.18593,35.8,47.24222,54.06667,49.57303,140.3481,132.2292,4.998026,62.505,25.09466,17.87767,5.114261,20.11138,9.007413,64.9612,4.998026,80,25,15,4.95737,10,4.971468,4.957074,6008.917,5578.171,7799.435547
5989,4.847108,19.4666,23.11933,44.08884,4.998839,5.100371,23.2929,61.59999,65.1,69.89999,22.3,1187.245,1987.768,2084.722,1062.326,23.52186,35.63204,47.57815,54.88969,49.40506,140.8442,132.078,4.999502,62.18587,24.49273,17.70654,5.108174,20.04126,8.994645,64.97426,4.999502,80,25,15,4.952757,10,4.96877,4.971468,6017.153,5578.171,7799.435547
5990,4.848766,20.09079,22.87938,49.44066,4.999668,5.100371,23.29424,60.8,65.2,70.1,22.3,1133.601,1973.695,1975.35,1062.326,23.52186,35.29611,47.09105,55.05766,49.74099,140.5465,132.078,5.000978,62.18587,25.16102,18.24428,5.113044,20.01205,8.98507,65.02646,5.000978,80,25,15,4.967519,10,4.960672,4.962472,6008.917,5578.171,7799.435547
5991,4.847937,20.01135,23.5522,47.59727,4.999668,5.100371,23.37301,59.8,65.2,70.1,22.3,1162.418,1978.701,2008.751,1062.326,23.35389,35.46407,47.24222,55.22562,49.57303,140.9434,131.7421,5.00024,62.35383,25.00903,18.12211,5.116696,19.83446,8.981878,65.00035,5.00024,80,25,15,4.956447,10,4.969669,4.96697,6008.917,5569.935,7799.435547
5992,4.849596,20.09079,23.27983,47.66212,4.999668,5.100371,23.34009,58.9,64.99999,70.1,22.3,1138.068,1978.622,2019.948,1062.326,23.35389,35.29611,46.92309,55.05766,49.74099,140.3481,131.9101,5.00024,62.18587,24.80048,18.26781,5.116696,19.95625,9.001029,65.02646,5.00024,80,25,15,4.953679,10,4.962472,4.980465,6000.681,5586.407,7799.435547
5993,4.847108,21.16407,24.60927,48.30253,4.999668,5.101294,23.33287,58.4,64.8,69.99999,22.3,1144.849,1977.532,2047.375,1062.326,23.52186,35.12815,46.92309,55.22562,49.74099,140.8442,131.9101,5.000978,61.68198,24.58297,17.83374,5.126435,19.7569,9.029756,65.02646,5.000978,80,25,15,4.953679,10,4.964271,4.969669,6017.153,5569.935,7799.435547
5994,4.852083,19.86706,23.85538,45.78794,4.999668,5.100371,23.3107,58.7,64.8,69.89999,22.3,1107.422,1977.532,2047.077,1062.326,23.35389,35.29611,47.09105,55.05766,49.74099,140.4473,131.9101,5.000978,62.35383,24.86518,18.01008,5.122783,20.01038,8.972302,65.01341,5.000978,80,25,15,4.949989,10,4.950777,4.959773,6017.153,5569.935,7799.435547
5995,4.850424,19.78599,23.13554,45.51556,5.000497,5.099448,23.29676,59.3,64.8,69.8,22.2,1108.423,1988.562,2062.682,1062.147,23.68982,35.29611,47.24222,55.22562,49.74099,140.8442,131.7421,5.00024,62.67296,25.28584,18.1965,5.117913,19.92539,9.004221,64.9612,5.00024,80,25,15,4.944453,10,4.955275,4.975067,6008.917,5586.407,7791.200195
5996,4.846279,19.54604,23.51978,46.97308,4.999668,5.100371,23.3841,60.3,64.99999,69.8,22.2,1117.171,1960.798,2002.817,1062.147,23.68982,35.8,47.41018,55.22562,49.74099,140.6457,131.9101,4.999502,62.67296,24.65561,18.22342,5.115479,20.02539,9.026564,64.9612,4.999502,80,25,15,4.956447,10,4.959773,4.962472,6017.153,5586.407,7799.435547
5997,4.848766,19.97892,23.34306,46.76556,4.999668,5.100371,23.45532,61.2,65.1,69.89999,22.2,1087.607,1969.457,2047.077,1062.147,23.35389,35.8,47.41018,55.39359,49.74099,140.8442,130.5831,4.999502,62.18587,24.74544,17.78127,5.117913,20.11691,9.007413,65.01341,5.00024,80,25,15,4.951834,10,4.963372,4.972368,6017.153,5578.171,7791.200195
5998,4.851254,19.33852,22.76589,49.76005,4.999668,5.100371,23.59809,61.9,65.2,70.1,22.2,1119.846,1977.015,2008.751,1062.147,23.52186,35.96796,47.41018,55.56155,49.74099,140.4473,130.2472,4.999502,61.68198,25.34344,17.98093,5.114261,20.09228,8.991454,64.97425,4.999502,80,25,15,4.960138,10,4.958873,4.964271,6025.389,5569.935,7791.200195
5999,4.85457,20.50746,22.57458,47.21303,4.999668,5.100371,23.59406,61.9,65.1,70.2,22.2,1112.746,1982.281,2031.38,1062.147,23.52186,35.8,47.74611,55.56155,49.90895,140.8442,130.9023,4.999502,61.68198,25.1152,18.52842,5.115479,20.08013,8.98507,65.01341,4.999502,80,25,15,4.967519,10,4.957973,4.969669,6008.917,5586.407,7799.435547
6000,4.847108,19.96271,22.33463,46.5094,4.999668,5.100371,23.58482,61.4,64.99999,70.1,22.1,1142.513,1976.431,2047.674,1061.967,23.52186,35.29611,47.57815,55.39359,50.07692,140.5465,130.7343,5.00024,61.68198,25.14343,17.69958,5.121565,19.98868,9.001029,65.01341,5.00024,80,25,15,4.934304,10,4.96877,4.962472,6017.153,5569.935,7799.435547
6001,4.849596,20.02756,22.607,48.59111,5.000497,5.100371,23.56903,60.7,64.89999,70.1,22.2,1163.988,1972.257,2031.084,1062.147,23.68982,35.46407,47.24222,55.39359,49.74099,140.8442,131.0702,5.00024,62.01791,25.05496,18.10152,5.106956,20.26428,9.007413,64.9873,5.00024,80,25,15,4.963829,10,4.960672,4.972368,6017.153,5578.171,7799.435547
6002,4.850424,19.41796,22.91018,49.96919,4.999668,5.100371,23.55593,59.7,64.8,69.89999,22.1,1131.734,1983.027,2024.934,1050.486,23.35389,35.46407,47.41018,55.39359,49.74099,140.4473,131.0702,4.998764,62.01791,25.33937,17.81912,5.115479,19.8224,9.010605,65.02646,4.999502,80,25,15,4.973055,10,4.957074,4.96697,6017.153,5586.407,7791.200195
6003,4.846279,19.93028,22.97503,,4.999668,5.099448,23.55442,58.8,64.8,69.8,22.1,1145.539,1977.532,1991.533,1061.967,23.52186,35.29611,47.57815,55.05766,49.74099,140.8442,130.9023,5.00024,61.68198,24.78504,18.14173,5.109392,20.02719,9.004221,65.00035,5.00024,80,25,15,4.969364,10,4.961572,4.96697,6008.917,5586.407,7799.435547
6004,4.846279,20.36316,22.34922,48.86349,4.999668,5.100371,23.54098,58.4,64.99999,69.8,22,1137.212,1980.306,2030.197,1061.787,23.52186,35.29611,47.57815,55.22562,49.74099,140.5465,130.5831,5.000978,62.01791,25.29781,17.75738,5.119131,19.89125,9.010605,64.97425,5.000978,80,25,15,4.958292,10,4.965171,4.975966,6017.153,5578.171,7791.200195
6005,4.847108,20.57231,22.4465,48.63975,4.999668,5.100371,23.52922,58.7,65.1,69.89999,22,1137.554,1958.309,2047.077,1061.787,23.52186,35.29611,47.57815,55.39359,50.07692,140.8442,131.2382,5.003193,62.01791,25.25592,18.36269,5.116696,19.92977,8.96911,65.01341,5.003193,80,25,15,4.97121,10,4.974167,4.970569,6008.917,5578.171,7791.200195
6006,4.850424,19.52983,23.61543,,4.999668,5.100371,23.52721,59.4,65.2,70.1,22.1,1084.677,1984.199,2047.674,1061.967,23.35389,35.46407,47.24222,55.56155,50.07692,140.6457,131.5741,4.999502,61.84994,24.465,17.90982,5.110609,19.96133,8.972302,65.01341,4.999502,80,25,15,4.961061,10,4.955275,4.962472,6017.153,5586.407,7799.435547
6007,4.851254,19.72276,22.84695,,5.000497,5.099448,23.51746,60.4,65.1,70.2,22,1110.254,1986.705,2047.972,1061.787,23.35389,35.8,47.57815,55.71272,50.07692,140.8442,131.5741,5.000978,62.01791,25.02864,17.56053,5.113044,20.05681,8.988262,64.9612,5.000978,80,25,15,4.944453,10,4.965171,4.959773,6017.153,5578.171,7799.435547
6008,4.853741,19.72276,23.5522,,4.999668,5.100371,23.51142,61.4,64.99999,70.2,22,1087.932,1963.629,2047.972,1061.787,23.35389,35.8,47.41018,55.39359,50.07692,140.3481,131.5741,5.00024,62.18587,24.99518,18.53517,5.114261,20.05929,9.010605,64.9364,5.00024,80,25,15,4.958292,10,4.966071,4.96877,6000.681,5578.171,7799.435547
6009,4.848766,20.17185,23.15013,,4.999668,5.100371,23.49563,61.9,64.8,70.1,22,1112.746,1988.562,2074.484,1061.787,23.68982,36.13593,47.57815,55.39359,50.07692,140.8442,131.7421,4.999502,61.51401,24.81742,18.1337,5.111826,19.93843,8.997837,65.00036,4.999502,80,25,15,4.95737,10,4.960672,4.954375,6017.153,5586.407,7799.435547
6010,4.850424,19.38554,24.16018,,4.999668,5.100371,23.4916,61.9,64.8,69.89999,21.9,1112.746,1969.712,2024.934,1061.608,23.35389,35.8,47.91408,55.71272,50.07692,140.4473,130.7343,5.000978,61.84994,24.8643,17.38573,5.111826,20.08416,8.988262,65.01341,5.000978,80,25,15,4.951834,10,4.961572,4.961572,6017.153,5586.407,7799.435547
6011,4.847937,20.17185,22.86316,,5.000497,5.100371,23.48387,61.4,64.8,69.8,21.9,1142.342,1994.082,2007.874,1095.318,23.35389,35.63204,47.74611,55.39359,50.07692,141.0327,130.7343,5.001717,61.68198,24.74218,17.46882,5.114261,19.95806,9.013797,64.94815,5.001717,80,25,15,4.958292,10,4.952576,4.957074,6017.153,5586.407,7799.435547
6012,4.848766,20.01135,22.6216,,4.999668,5.099448,23.48269,60.59999,64.99999,69.89999,21.9,1140.976,1970.858,1991.823,1061.608,23.52186,35.46407,47.74611,55.56155,50.07692,140.4473,130.7343,5.00024,61.84994,25.2254,17.79261,5.114261,19.97832,9.004221,64.94815,5.00024,80,25,15,4.950912,10,4.960672,4.971468,6017.153,5569.935,7791.200195
6013,4.847108,20.12322,23.10311,,4.999668,5.100371,23.47161,59.59999,65.2,70.1,22,1131.564,1973.131,2008.751,1061.787,23.52186,35.46407,47.57815,55.71272,50.39605,140.9434,130.9023,5.00024,61.51401,24.83147,17.50047,5.116696,20.0399,9.001029,65.00036,5.00024,80,25,15,4.968441,10,4.956174,4.96697,6008.917,5586.407,7791.200195
6014,4.850424,20.4118,22.7821,,5.000497,5.101294,23.47934,58.7,65.2,70.1,21.9,1137.726,1973.131,1992.404,1061.608,23.52186,35.12815,47.57815,55.56155,50.24488,140.6457,130.9023,5.001717,61.68198,25.14406,17.82148,5.113044,20.06758,9.023373,64.94815,5.001717,80,25,15,4.944453,10,4.957074,4.965171,6017.153,5578.171,7791.200195
6015,4.847108,19.43418,23.50357,,5.000497,5.101294,23.46623,58.4,65.2,70.1,22,1129.523,1982.013,2025.819,1095.503,23.84099,35.46407,47.57815,55.71272,50.24488,140.9434,130.7343,5.001717,62.01791,25.1326,18.475,5.113044,20.07013,8.997837,65.01341,5.001717,80,25,15,4.956447,10,4.959773,4.957973,6008.917,5578.171,7791.200195
6016,4.84545,20.68418,22.67023,,5.000497,5.100371,23.46724,58.7,64.99999,70.1,22,1137.726,1970.858,2047.972,1050.308,23.35389,35.46407,47.57815,55.39359,50.24488,140.3481,130.7343,5.001717,61.84994,24.81013,18.38786,5.110609,20.10636,8.978686,65.01341,5.001717,80,25,15,4.969364,10,4.960672,4.96697,6025.389,5593.819,7791.200195
6017,4.84545,20.98898,23.13554,,5.000497,5.100371,23.47144,59.59999,64.8,69.99999,22,1085.003,1980.842,2008.751,1095.503,23.68982,35.8,47.41018,55.88068,49.90895,140.8442,131.5741,5.000978,61.68198,25.16041,17.46351,5.122783,19.71382,8.997837,65.01341,5.000978,80,25,15,4.958292,10,4.965171,4.973268,6008.917,5578.171,7791.200195
