BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
27,5.003814,18.79377,43.44844,,4.997181,5.050548,26.82971,28.7,36,39.4,22.8,921.4019,2089.593,2188.992,1029.536,23.18593,26.00772,30.81537,33.97821,31.6513,140.6457,131.0702,5.001717,61.17809,24.81474,31.68014,5.094783,26.77144,7.500858,54.94047,5.001717,60,40,13,4.938917,11,4.957973,5.000257,6033.625,5626.764,18333.06641
28,4.99801,20.68418,28.34144,,4.999668,5.050548,26.82232,28.7,35.9,39.4,22.8,921.4019,2089.255,2142.044,1017.661,23.18593,25.83976,30.47944,33.97821,31.6513,140.8442,131.0702,5.002455,61.34605,25.10008,31.56364,5.089913,29.70234,7.523201,54.90262,5.002455,60,40,13,4.958292,11,4.957074,4.953475,6033.625,5618.528,4978.300781
29,4.996352,20.02756,28.85376,,4.998839,5.049625,26.82047,28.6,35.9,39.4,22.9,912.5989,2069.477,2170.493,1017.833,22.85,26.00772,30.64741,33.97821,31.48333,140.3481,130.7343,4.999502,61.01012,24.51364,31.54309,5.102087,26.85729,7.50405,54.90262,4.999502,60,40,13,4.921387,11,4.962472,4.960672,6033.625,5618.528,4961.828125
30,4.999668,20.15564,27.26816,,5.000497,5.050548,26.81375,28.3,36,39.6,22.9,928.5043,2083.313,2170.84,1017.833,23.52186,25.83976,30.31148,33.97821,31.48333,140.6457,130.9023,4.999502,61.34605,24.48242,31.47187,5.089913,27.1506,7.513625,54.90262,4.999502,60,40,13,4.926923,11,4.960672,4.961572,6041.861,5626.764,4978.300781
31,4.999668,18.98508,28.72568,,4.999668,5.051471,26.81022,28.1,36,39.6,22.8,928.1964,2098.228,2189.692,1029.536,23.35389,25.83976,30.64741,33.97821,30.81148,140.6457,131.2382,4.999502,61.68198,25.53151,31.84277,5.091131,26.33475,7.494474,54.91567,4.999502,60,40,13,4.926923,11,4.957074,4.965171,6033.625,5618.528,4970.064453
32,5.000497,19.91407,27.98962,,4.999668,5.049625,26.80602,27.8,36,39.5,22.8,927.7344,2096.291,2175.22,1017.661,23.52186,25.83976,30.47944,33.97821,31.48333,140.5465,131.2382,5.002455,61.84994,24.89562,32.01315,5.088696,27.23149,7.491282,54.91567,5.002455,60,40,13,4.925077,11,4.947178,4.949877,6041.861,5626.764,4953.592773
33,4.999668,20.57231,29.46336,,4.999668,5.049625,26.80619,27.7,36,39.4,22.8,927.5804,2087.161,2170.146,1017.661,23.35389,25.83976,30.47944,33.97821,31.48333,140.6457,131.2382,5.00024,61.68198,25.35095,31.79224,5.089913,27.16856,7.475323,54.97962,5.00024,60,40,13,4.937072,11,4.951676,4.956174,6041.861,5626.764,4970.064453
34,5.005472,19.56226,27.90856,,4.999668,5.049625,26.80586,27.7,36,39.4,22.9,919.8754,2080.922,2216.499,981.3396,23.18593,26.00772,30.64741,33.97821,31.48333,140.6457,131.2382,5.00024,61.51401,24.4974,32.15279,5.085043,27.25843,7.500858,54.94047,5.00024,60,40,13,4.933381,11,4.957973,4.956174,6033.625,5626.764,4985.712891
35,5.002985,19.04993,26.19488,,4.998839,5.050548,26.80384,27.8,35.9,39.5,22.9,920.0281,2090.713,2137.586,1017.833,23.35389,26.17568,30.64741,33.97821,31.6513,140.5465,131.2382,5.000978,61.17809,24.5969,32.29194,5.091131,27.11595,7.50405,54.92872,5.000978,60,40,13,4.937072,11,4.948977,4.949877,6033.625,5618.528,4953.592773
36,4.996352,20.37938,28.96563,,4.999668,5.049625,26.80367,28.1,35.9,39.6,22.9,903.1171,2072.86,2157.069,1017.833,23.52186,26.34365,30.64741,33.97821,31.6513,140.5465,131.0702,4.999502,60.52303,25.15692,31.64132,5.076522,27.09028,7.497666,54.94047,4.999502,60,40,13,4.923232,11,4.952576,4.948078,6050.097,5618.528,5002.185547
